GENE	P
CHD3	0.53631
KCNAB3	0.56346
TRAPPC1	0.66377
CNTROB	0.39212
GUCY2D	0.70629
ALOX15B	0.13965
ALOX12B	0.56688
ALOXE3	0.58939
HES7	0.87142
PER1	0.32203
VAMP2	0.15664
TMEM107	0.26013
BORCS6	0.07829
AURKB	0.1698
CTC1	0.52666
PFAS	0.61725
SLC25A35	0.25374
RANGRF	0.99137
ARHGEF15	0.56939
ODF4	0.96978
KRBA2	0.93269
RPL26	0.77077
RNF222	0.36106
NDEL1	0.033808
MYH10	0.013142
CCDC42	0.046461
SPDYE4	0.048635
MFSD6L	0.83091
PIK3R6	0.73508
PIK3R5	0.24023
NTN1	0.78548
STX8	0.47125
CFAP52	0.016643
USP43	0.087535
DHRS7C	0.028846
GLP2R	0.2521
RCVRN	0.29106
GAS7	0.88492
MYH13	0.59164
MYH8	0.6962
MYH4	0.75291
MYH1	0.71342
MYH2	0.97385
MYH3	0.55326
SCO1	0.29437
ADPRM	0.28015
TMEM220	0.3195
PIRT	0.74942
SHISA6	0.0019863
DNAH9	0.0029063
ZNF18	0.78181
MAP2K4	0.56435
MYOCD	0.048435
ARHGAP44	0.016855
ELAC2	0.014938
HS3ST3A1	0.84762
COX10	0.28319
CDRT15	0.26644
HS3ST3B1	0.34855
PMP22	0.20101
TEKT3	0.38096
CDRT4	0.1485
TVP23C-CDRT4	0.19817
TVP23C	0.25448
FBXW10B	0.78185
TRIM16	0.5941
ZNF286A	0.46945
TBC1D26	0.8697
ADORA2B	0.42622
ZSWIM7	0.68179
TTC19	0.38356
NCOR1	0.63916
PIGL	0.73253
CENPV	0.61879
UBB	0.022233
TRPV2	0.048064
LRRC75A	0.04191
ZNF287	0.7233
ZNF624	0.14984
CCDC144A	0.070666
TBC1D27P	0.89673
TNFRSF13B	0.40414
MPRIP	0.084497
PLD6	0.86906
FLCN	0.090857
COPS3	0.069306
NT5M	0.56148
MED9	0.75297
RASD1	0.53595
PEMT	0.56388
RAI1	0.22762
SREBF1	0.20807
TOM1L2	0.27582
DRC3	0.55958
ATPAF2	0.51042
GID4	0.49985
DRG2	0.4184
MYO15A	0.30393
ALKBH5	0.21648
LLGL1	0.21549
FLII	0.4744
MIEF2	0.38793
TOP3A	0.38186
SMCR8	0.35126
SHMT1	0.51916
EVPLL	0.5733
LGALS9C	0.1113
TBC1D28	0.60742
ZNF286B	0.56543
TRIM16L	0.78664
FBXW10	0.34137
TVP23B	0.245
LOC101929141	0.025125
PRPSAP2	0.032339
SLC5A10	0.7533
FAM83G	0.98244
GRAP	0.16269
EPN2	0.52114
B9D1	0.35372
MAPK7	0.1361
MFAP4	0.44547
RNF112	0.51488
SLC47A1	0.45758
ALDH3A2	0.59557
SLC47A2	0.65265
ALDH3A1	0.44135
ULK2	0.80369
AKAP10	0.17957
SPECC1	0.50508
CCDC144NL	0.29078
USP22	0.10714
DHRS7B	0.69588
TMEM11	0.55675
NATD1	0.60732
MAP2K3	0.042778
KCNJ12	0.0028727
LINC02693	0.57811
MTRNR2L1	0.071574
WSB1	0.29962
KSR1	0.020256
LGALS9	0.49847
NOS2	0.2148
LYRM9	1.2863e-4
NLK	0.035215
TMEM97	0.088031
IFT20	0.77589
TNFAIP1	0.081281
POLDIP2	0.075735
TMEM199	0.11397
SEBOX	0.94366
VTN	0.42019
SARM1	0.12118
SLC46A1	0.059308
SLC13A2	0.73532
FOXN1	0.89126
UNC119	0.258
PIGS	0.021115
ALDOC	0.5347
SPAG5	0.28827
RSKR	0.17924
BLTP2	0.043063
SDF2	0.021125
SUPT6H	0.23584
PROCA1	0.15661
RAB34	0.027366
RPL23A	0.14732
TLCD1	0.024765
NEK8	0.18842
TRAF4	0.31139
FAM222B	0.52567
ERAL1	0.78924
FLOT2	0.0021925
DHRS13	0.20073
PHF12	0.55023
SEZ6	0.39436
PIPOX	1.4272e-5
MYO18A	7.3655e-4
CRYBA1	0.0084654
NUFIP2	0.054159
TAOK1	0.020463
ABHD15	0.016277
TP53I13	0.014501
GIT1	0.0093648
ANKRD13B	0.014338
CORO6	0.23909
SSH2	0.0098144
EFCAB5	0.0043398
NSRP1	0.0045847
SLC6A4	0.0086442
BLMH	0.024223
TMIGD1	2.2343e-4
CPD	2.1152e-5
GOSR1	9.2709e-6
TBC1D29P	6.2863e-4
CRLF3	0.043957
ATAD5	0.14491
TEFM	0.17934
ADAP2	0.084625
RNF135	0.601
NF1	0.044016
OMG	0.021614
EVI2B	0.085528
EVI2A	0.097505
RAB11FIP4	0.061875
COPRS	0.74696
UTP6	0.9702
SUZ12	0.95132
LRRC37B	0.81784
RHOT1	0.59747
RHBDL3	0.90011
C17orf75	0.38608
ZNF207	0.32012
PSMD11	0.51557
CDK5R1	0.8401
MYO1D	0.58083
TMEM98	0.022632
SPACA3	0.81879
ASIC2	1.163e-4
CCL2	0.82858
CCL7	0.99869
CCL11	0.55336
CCL8	0.22626
CCL13	0.55267
CCL1	0.44551
TMEM132E-DT	0.35614
TMEM132E	0.82828
CCT6B	0.21181
ZNF830	0.29405
LIG3	0.022587
RFFL	0.015754
RAD51D	0.056378
FNDC8	0.07218
NLE1	0.024977
UNC45B	0.20071
SLC35G3	0.0084235
SLFN5	0.062568
SLFN11	0.38426
SLFN12	0.952
SLFN13	0.98747
SLFN12L	0.51599
SLFN14	0.70354
PEX12	0.5336
AP2B1	0.38108
RASL10B	0.52291
GAS2L2	0.17609
MMP28	0.26752
C17orf50	0.20839
TAF15	0.36764
HEATR9	0.41266
CCL5	0.56037
RDM1	0.41785
LYZL6	0.11003
CCL16	0.45858
CCL14	0.14591
CCL15	0.069493
CCL23	0.12652
CCL18	0.11561
CCL3	0.762
CCL4	0.57915
ZNHIT3	4.2405e-4
MYO19	0.0059217
PIGW	0.0059494
GGNBP2	9.7695e-4
DHRS11	0.0012525
MRM1	0.014188
LHX1	0.57564
AATF	0.091033
ACACA	0.59128
C17orf78	0.32546
TADA2A	0.037722
DUSP14	0.023603
SYNRG	6.5349e-6
DDX52	1.0302e-5
HNF1B	0.040691
MRPL45	0.4374
GPR179	0.72867
SOCS7	0.15955
ARHGAP23	0.82275
SRCIN1	0.76057
EPOP	0.87057
MLLT6	0.60961
CISD3	0.66317
PCGF2	0.14874
PSMB3	0.14652
PIP4K2B	0.019809
CWC25	0.11329
C17orf98	0.23509
RPL23	0.29553
LASP1	0.10775
FBXO47	0.67054
PLXDC1	0.57165
ARL5C	0.32533
CACNB1	0.13221
RPL19	0.013517
STAC2	0.1277
LOC101929578	0.032139
FBXL20	0.016981
MED1	0.010005
CDK12	0.0090052
NEUROD2	0.014779
PPP1R1B	0.050261
STARD3	0.16371
TCAP	0.011778
PNMT	0.0022414
PGAP3	6.527e-4
ERBB2	1.7941e-4
GRB7	0.72212
IKZF3	0.1695
ZPBP2	8.71e-5
GSDMB	1.0546e-4
ORMDL3	1.4705e-4
LRRC3C	5.3656e-4
GSDMA	3.394e-5
PSMD3	5.8533e-4
CSF3	0.0025631
MED24	5.1553e-6
THRA	2.9224e-5
NR1D1	0.47873
MSL1	0.09049
CASC3	0.046477
RAPGEFL1	0.13742
WIPF2	0.14891
CDC6	0.080009
RARA	0.19795
GJD3	0.16081
TOP2A	0.45122
IGFBP4	0.0456
TNS4	0.097855
CCR7	0.77343
SMARCE1	0.16895
KRT222	0.26435
KRT24	0.35121
KRT25	0.83267
KRT26	0.59207
KRT27	0.63951
KRT28	0.86811
KRT10	0.66885
KRT10-AS1	0.61057
KRT12	0.074987
KRT20	0.22459
KRT23	0.49695
KRT39	0.30638
KRT40	0.76297
KRTAP3-3	0.18731
KRTAP3-2	0.60243
KRTAP3-1	0.91107
KRTAP1-5	0.60467
KRTAP1-4	0.53253
KRTAP1-3	0.656
KRTAP1-1	0.46789
KRTAP2-1	0.3167
KRTAP2-2	0.11398
KRTAP2-3	0.0835
KRTAP2-4	0.04144
KRTAP4-7	0.98485
KRTAP4-8	0.84553
KRTAP4-9	0.3381
KRTAP4-11	0.30497
KRTAP4-12	0.35125
KRTAP4-6	0.9205
KRTAP4-5	0.81061
KRTAP4-4	0.4681
KRTAP4-2	0.33525
KRTAP4-1	0.6775
KRTAP9-1	0.35667
KRTAP9-2	0.9637
KRTAP9-3	0.8474
KRTAP9-4	0.98113
KRTAP9-9	0.7776
KRTAP29-1	0.83551
KRTAP16-1	0.94928
KRTAP17-1	0.75843
KRT33A	0.96101
KRT33B	0.9016
KRT34	0.62874
KRT31	0.92987
KRT37	0.39479
KRT38	0.15559
KRT32	0.13819
KRT35	0.85887
KRT36	0.54348
KRT13	0.97279
KRT15	0.73487
KRT19	0.99723
KRT9	0.65167
KRT14	0.76844
KRT16	0.62069
KRT17	0.72494
EIF1	0.23955
GAST	0.2467
HAP1	0.83257
JUP	0.19289
P3H4	0.39979
FKBP10	0.57964
NT5C3B	0.80556
KLHL10	0.80915
KLHL11	0.80603
ACLY	0.63346
ODAD4	0.65292
CNP	0.39156
DNAJC7	0.13528
NKIRAS2	0.18407
ZNF385C	0.082313
DHX58	0.6038
KAT2A	0.69657
HSPB9	0.7222
RAB5C	0.85267
KCNH4	0.27951
GHDC	0.94792
STAT5B	0.68502
STAT5A	0.19285
STAT3	0.38944
CAVIN1	0.46007
ATP6V0A1	0.52124
NAGLU	0.66833
HSD17B1	0.61971
COASY	0.6891
MLX	0.55366
PSMC3IP	0.65769
RETREG3	0.55293
TUBG1	0.63435
TUBG2	0.35079
PLEKHH3	0.1478
CCR10	0.9089
CNTNAP1	0.62102
EZH1	0.27701
RAMP2	0.41216
VPS25	0.63223
WNK4	0.071107
CNTD1	0.31637
BECN1	0.39152
PSME3	0.40099
AOC2	0.75785
AOC3	0.56807
G6PC1	0.92754
AARSD1	0.89051
PTGES3L-AARSD1	0.91492
PTGES3L	0.88889
RUNDC1	0.66306
RPL27	0.77586
IFI35	0.84008
VAT1	0.90466
RND2	0.82216
BRCA1	0.91501
NBR1	0.9448
TMEM106A	0.63022
ARL4D	0.13044
DHX8	0.078395
ETV4	0.027703
MEOX1	0.44448
SOST	0.37707
DUSP3	0.093548
CFAP97D1	0.057291
MPP3	0.060059
CD300LG	0.46527
MPP2	0.19409
PPY	0.035925
PYY	0.20779
NAGS	0.044105
TMEM101	0.0022421
LSM12	0.0050649
G6PC3	0.0033756
HDAC5	1.7105e-6
HROB	8.5645e-8
ASB16	9.0701e-8
TMUB2	3.3757e-7
ATXN7L3	8.0382e-6
UBTF	1.3901e-9
SLC4A1	1.5771e-6
RUNDC3A	0.80758
SLC25A39	0.90116
GRN	0.52197
FAM171A2	0.12749
ITGA2B	0.048079
GPATCH8	0.022649
FZD2	0.41996
MEIOC	0.7489
CCDC43	0.69517
DBF4B	0.59369
ADAM11	0.68456
GJC1	0.49273
HIGD1B	0.2662
EFTUD2	0.3973
CCDC103	0.30029
GFAP	0.23348
KIF18B	0.048666
C1QL1	0.040169
DCAKD	0.003477
NMT1	0.0036157
PLCD3	0.017258
ACBD4	0.047974
HEXIM1	0.22956
HEXIM2	0.73678
FMNL1	0.23401
SPATA32	0.31277
MAP3K14	0.33079
ARHGAP27	0.10643
PLEKHM1	0.10104
CRHR1	0.11719
SPPL2C	0.095768
MAPT	0.070182
STH	0.07988
KANSL1	0.074384
LRRC37A	0.08942
ARL17B	0.10379
ARL17A	0.10595
LRRC37A2	0.062827
NSF	0.067056
WNT3	0.073378
WNT9B	0.0096807
GOSR2	0.075057
RPRML	0.9134
CDC27	0.17658
MYL4	0.09017
ITGB3	0.012776
EFCAB13	0.0062739
NPEPPS	0.0067582
KPNB1	0.0083029
TBKBP1	0.0034884
TBX21	0.037984
OSBPL7	0.25813
MRPL10	0.36074
LRRC46	0.23714
SCRN2	0.58691
SP6	0.38687
SP2	0.013427
PNPO	0.16231
PRR15L	0.0061271
CDK5RAP3	0.012235
COPZ2	0.2785
NFE2L1	0.48643
CBX1	0.57181
SNX11	0.58712
SKAP1	0.10269
HOXB1	0.70873
HOXB2	0.57971
HOXB3	0.82911
HOXB4	0.2828
HOXB5	0.64276
HOXB6	0.90203
HOXB7	0.98437
HOXB8	0.70275
HOXB9	0.33765
LOC101060400	0.045518
PRAC1	0.14131
PRAC2	0.665
HOXB13	0.030055
TTLL6	0.26726
CALCOCO2	0.95713
ATP5MC1	0.29261
UBE2Z	0.46869
SNF8	0.2914
GIP	0.34576
IGF2BP1	0.61818
B4GALNT2	0.065923
GNGT2	0.024604
ABI3	0.030745
PHOSPHO1	0.084966
ZNF652	0.10962
PHB1	0.46747
NGFR	0.57982
NXPH3	0.98413
SPOP	0.98021
SLC35B1	0.23484
FAM117A	0.56391
KAT7	0.64139
TAC4	0.47508
FLJ45513	0.78803
DLX4	0.96804
DLX3	0.93551
ITGA3	0.0058915
PDK2	0.053936
SAMD14	0.23717
PPP1R9B	0.063219
SGCA	0.97622
COL1A1	0.12877
TMEM92	0.4777
XYLT2	0.035854
MRPL27	0.0018588
EME1	3.3937e-5
LRRC59	1.3545e-5
ACSF2	0.013716
CHAD	0.014989
RSAD1	0.026323
MYCBPAP	0.064937
EPN3	0.025911
SPATA20	0.011201
CACNA1G	0.018747
ABCC3	1.1476e-4
ANKRD40	1.8668e-5
LUC7L3	0.0010989
WFIKKN2	0.16163
TOB1	0.042733
SPAG9	0.013947
NME1-NME2	0.019587
NME1	0.027795
NME2	0.020408
MBTD1	4.5873e-6
UTP18	1.5784e-5
CA10	0.065111
LINC02876	0.33916
KIF2B	0.045314
TOM1L1	0.12714
COX11	0.2054
STXBP4	0.30067
HLF	4.147e-6
MMD	1.6042e-4
TMEM100	0.70327
PCTP	0.51258
ANKFN1	0.79239
C17orf67	0.43274
DGKE	0.22689
TRIM25	0.83248
COIL	0.66557
SCPEP1	0.12068
AKAP1	0.11383
MSI2	0.09799
CCDC182	0.074556
MRPS23	0.91261
CUEDC1	0.76917
VEZF1	0.26381
LOC101929185	0.1815
SRSF1	0.26811
DYNLL2	0.26284
OR4D1	0.2858
OR4D2	0.49227
EPX	0.039705
MKS1	0.19463
LPO	0.074812
MPO	0.02865
TSPOAP1	0.17149
SUPT4H1	0.089409
RNF43	0.0064428
HSF5	0.040556
MTMR4	0.020535
SEPTIN4	0.026668
TEX14	0.0064828
RAD51C	0.0093307
PPM1E	0.011177
TRIM37	0.0084181
SKA2	0.1287
PRR11	0.27526
SMG8	0.27024
GDPD1	0.071234
YPEL2	0.038513
DHX40	0.56193
CLTC	0.28875
PTRH2	0.56276
VMP1	0.10385
TUBD1	0.06628
RPS6KB1	0.060145
RNFT1	0.11425
HEATR6	0.47266
CA4	0.6836
USP32	0.62047
CHCT1	0.57078
APPBP2	0.55518
PPM1D	0.87547
BCAS3	0.74823
LOC101927855	0.90261
TBX2	0.16416
LINC02875	0.27061
TBX4	0.53486
NACA2	0.95413
BRIP1	0.44675
INTS2	0.12887
MED13	0.19902
EFCAB3	0.072312
METTL2A	0.28139
TLK2	0.15168
MRC2	0.24685000000000001
MARCHF10	0.60459
TANC2	0.020361
CYB561	0.027151
ACE	0.038144
KCNH6	0.92697
DCAF7	0.78713
TACO1	0.8999
MAP3K3	0.8925
LIMD2	0.49161
STRADA	0.98069
CCDC47	0.97518
DDX42	0.98541
FTSJ3	0.72721
PSMC5	0.63466
SMARCD2	0.83798
GH2	0.65778
CSHL1	0.48193
GH1	0.47214
CD79B	0.91132
SCN4A	0.16717
PRR29	0.047836
ICAM2	0.092453
ERN1	0.60875
TEX2	0.33159
PECAM1	0.98987
MILR1	0.28476
POLG2	0.40615
DDX5	0.69807
CEP95	0.85566
SMURF2	0.97672
LRRC37A3	0.20154
GNA13	0.077417
RGS9	0.16647
AXIN2	0.31912
CEP112	0.80109
APOH	0.095893
PRKCA	4.1412e-5
CACNG5	0.86653
CACNG4	0.67436
CACNG1	0.38295
HELZ	0.47461
HELZ-AS1	0.28877
PSMD12	0.3239
PITPNC1	0.2636
NOL11	0.094091
BPTF	0.11664
C17orf58	0.05449
KPNA2	0.10301
AMZ2	0.42483
ARSG	0.28268
SLC16A6	0.13073
WIPI1	0.24428
PRKAR1A	0.053203
FAM20A	4.3693e-4
ABCA8	0.093994
ABCA9	0.27772
ABCA6	0.30994
ABCA10	0.3858
ABCA5	0.52871
MAP2K6	0.15421
KCNJ16	0.51124
KCNJ2	0.42468
SOX9	0.66198
SLC39A11	0.47301
SSTR2	0.67681
COG1	0.3459
FAM104A	0.32558
C17orf80	0.23523
CPSF4L	0.12059
CDC42EP4	0.22271
SDK2	0.094122
LOC100134391	0.40375
RPL38	0.10225
TTYH2	0.10243
DNAI2	0.71965
KIF19	0.21587
BTBD17	0.0062826
GPR142	0.025638
GPRC5C	0.46423
CD300A	0.0021237
CD300LB	0.18944
CD300C	0.70665
CD300H	0.26864
CD300LD	0.28301
CD300LD-AS1	0.25791
LOC101928343	0.30208
CD300E	0.30979
RAB37	0.78735
CD300LF	0.792
NHERF1	0.074635
NAT9	0.31617
TMEM104	0.76962
GRIN2C	0.89688
FDXR	0.74133
FADS6	0.4205
USH1G	0.032731
OTOP2	0.0062901
OTOP3	0.23914
HID1	0.24139
CDR2L	0.015188
MRPL58	0.018167
ATP5PD	0.0049337
KCTD2	0.0023839
SLC16A5	0.029724
ARMC7	4.3783e-5
NT5C	5.4782e-8
JPT1	6.3601e-6
SUMO2	3.0042e-8
NUP85	0.0014483
GGA3	0.0035329
MRPS7	0.0045696
MIF4GD	0.38212
SLC25A19	0.0091782
GRB2	0.089806
TMEM94	0.012379
CASKIN2	0.026269
TSEN54	0.019339
LLGL2	0.01496
RECQL5	0.1319
SMIM5	0.078188
SMIM6	0.09045
SAP30BP	0.26822
ITGB4	0.034797
GALK1	0.032517
H3-3B	3.6898e-4
UNK	0.013392
UNC13D	0.24027
WBP2	0.26192
TRIM47	0.068946
TRIM65	0.10923
MRPL38	0.21187
FBF1	0.58701
ACOX1	0.51381
TEN1	0.82553
CDK3	0.7116
EVPL	0.82626
SRP68	0.099021
ZACN	0.069076
EXOC7	0.30503
FOXJ1	0.52208
RNF157	0.56962
UBALD2	0.77727
QRICH2	0.57974
PRPSAP1	0.3064
SPHK1	0.63229
UBE2O	0.11046
AANAT	0.052018
RHBDF2	0.092266
CYGB	0.14621
PRCD	0.26508
ST6GALNAC2	0.16013
ST6GALNAC1	0.18018
MXRA7	0.010148
JMJD6	0.0010611
METTL23	0.0042085
SRSF2	0.044079
MFSD11	0.0449
MGAT5B	0.40811
SEC14L1	0.50399
SEPTIN9	0.57849
TNRC6C	0.53642
TMC6	0.073383
TMC8	0.41908
C17orf99	0.34106
SYNGR2	0.43026
TK1	0.88222
AFMID	0.67408
BIRC5	0.20083
TMEM235	0.57793
SOCS3	0.1762
PGS1	0.082407
DNAH17	0.14761
CYTH1	0.18437
USP36	0.21911
TIMP2	0.61807
CEP295NL	0.90408
LGALS3BP	0.13306
CANT1	0.4632
C1QTNF1	0.70513
ENGASE	0.18604
RBFOX3	0.026966
ENPP7	0.081716
CBX2	0.38554
CBX8	0.78704
CBX4	0.1668
TBC1D16	0.59994
CCDC40	0.95533
GAA	0.81794
EIF4A3	0.79378
CARD14	0.72127
SGSH	0.4933
SLC26A11	0.30096
RNF213	0.10971
ENDOV	0.081473
NPTX1	2.5957e-4
RPTOR	5.996e-4
CHMP6	0.044482
BAIAP2	0.28465
AATK	0.43719
CEP131	0.39344
TEPSIN	0.21457
NDUFAF8	0.19114
SLC38A10	0.58163
TMEM105	0.20929
LINC03048	0.024597
BAHCC1	0.012188
ACTG1	0.12161
FSCN2	0.21862
FAAP100	0.021803
NPLOC4	0.0024104
TSPAN10	0.0012169
PDE6G	0.0016242
OXLD1	0.18554
CCDC137	0.0057499
ARL16	0.0078702
HGS	0.14144
MRPL12	0.054101
SLC25A10	0.080333
GCGR	0.25624
MCRIP1	0.11686
PPP1R27	0.088559
P4HB	0.11023
ARHGDIA	0.18075
ANAPC11	0.62832
PCYT2	0.23621
SIRT7	0.57827
MAFG	0.3628
PYCR1	0.14138
MYADML2	0.58702
NOTUM	0.92559
ASPSCR1	0.89741
CENPX	0.77583
LRRC45	0.88022
RAC3	0.82981
DCXR	0.98165
RFNG	0.95382
GPS1	0.81413
DUS1L	0.21362
FASN	0.0089503
CCDC57	0.017039
SLC16A3	0.058256
CSNK1D	0.50767
CD7	0.64413
SECTM1	0.29266
TEX19	0.42746
UTS2R	0.29898
OGFOD3	0.17577
HEXD	0.022873
CYBC1	0.41681
NARF	0.12063
FOXK2	0.11136
WDR45B	0.35748
RAB40B	0.51453
LOC101929552	0.84664
FN3KRP	0.3442
FN3K	0.38876
TBCD	0.4299
ZNF750	0.45022
B3GNTL1	0.48731
METRNL	0.45749
USP14	0.57411
THOC1	0.41732
COLEC12	0.65283
CETN1	0.072974
CLUL1	0.709
TYMSOS	0.16694
TYMS	0.027895
ENOSF1	0.23282
YES1	0.5398
ADCYAP1	0.43579
METTL4	0.75901
NDC80	0.81436
SMCHD1	0.44691
EMILIN2	0.20834
LPIN2	0.30361
MYOM1	0.59573
MYL12A	0.27917
MYL12B	0.57552
TGIF1	0.66872
DLGAP1	0.01175
AKAIN1	0.15886
ZBTB14	0.67491
EPB41L3	0.2618
TMEM200C	0.038877
L3MBTL4	0.016274
ARHGAP28	0.1092
LAMA1	0.29883
PTPRM	0.48116
RAB12	0.071208
MTCL1	0.086167
NDUFV2	0.32015
ANKRD12	0.24676
TWSG1	0.43556
RALBP1	0.71633
PPP4R1	0.95189
RAB31	0.23386
TXNDC2	0.3685
VAPA	0.026478
APCDD1	0.30825
NAPG	0.13471
PIEZO2	0.42015
SLC35G4	0.7838
GNAL	0.94851
CHMP1B	0.65538
MPPE1	0.76115
IMPA2	0.19747
ANKRD62	0.25044
CIDEA	0.85459
TUBB6	0.070302
AFG3L2	0.063565
PRELID3A	0.48351
SPIRE1	0.057855
PSMG2	0.063469
CEP76	0.067574
PTPN2	0.19144
SEH1L	0.072089
CEP192	0.26165
LDLRAD4	0.028739
FAM210A	0.3269
RNMT	0.18914
MC5R	0.14562
MC2R	0.95355
ZNF519	0.1474
POTEC	0.10991
ANKRD30B	0.018031
ROCK1	0.11319
GREB1L	0.2654
ESCO1	0.86291
SNRPD1	0.83031
ABHD3	0.54693
MIB1	0.19881
GATA6	0.084839
CTAGE1	0.10061
RBBP8	0.4052
CABLES1	0.41672
TMEM241	0.0045093
RIOK3	0.15202
RMC1	0.24683
NPC1	0.32784
ANKRD29	0.55575
LAMA3	0.22782
TTC39C	0.73491
CABYR	0.55248
OSBPL1A	0.46363
IMPACT	0.73688
HRH4	0.070331
ZNF521	0.011623
SS18	0.31452
PSMA8	0.32653
TAF4B	0.22842
KCTD1	0.086397
AQP4	0.64752
CHST9	0.24022
CDH2	0.78964
DSC3	0.34111
DSC2	0.2318
DSC1	0.090066
DSG1	0.25683
DSG4	0.071395
DSG3	2.1523e-4
DSG2	0.53104
TTR	0.19895
B4GALT6	0.8122
SLC25A52	0.6893
TRAPPC8	0.80291
RNF125	0.053262
RNF138	0.14542
MEP1B	0.0013964
GAREM1	0.014271
KLHL14	0.97086
CCDC178	0.087281
ASXL3	0.046495
NOL4	6.5844e-4
DTNA	0.18986
MAPRE2	0.0050584
ZNF397	0.0082279
ZSCAN30	8.9411e-4
ZNF24	0.0041912
ZNF396	0.0011437
INO80C	0.49026
GALNT1	0.67191
C18orf21	0.86027
RPRD1A	0.81829
SLC39A6	0.091818
ELP2	0.25044
MOCOS	0.42892
FHOD3	5.049e-4
TPGS2	0.56394
KIAA1328	0.73637
CELF4	0.20307
PIK3C3	0.26977
RIT2	0.013787
SYT4	0.045423
SETBP1	0.0048544
SLC14A2	0.013817
SLC14A1	0.8085
SIGLEC15	0.38698
EPG5	0.26031
PSTPIP2	0.21254
ATP5F1A	0.52442
HAUS1	0.51656
ARK2N	0.92991
ARK2C	0.18945
LOXHD1	0.53611
ST8SIA5	1.7829e-4
PIAS2	0.080772
KATNAL2	0.0050458
ELOA2	0.041475
HDHD2	0.086836
IER3IP1	0.25699
SKOR2	0.051871
SMAD2	0.11344
ZBTB7C	0.54388
CTIF	0.10355
SMAD7	0.19225
DYM	0.10793
C18orf32	0.37252999999999997
RPL17-C18orf32	0.53015
RPL17	0.86223
LIPG	0.19261
ACAA2	0.13381
MYO5B	0.065358
CFAP53	0.18874
MBD1	0.078159
CXXC1	0.38458
SKA1	0.012231
MAPK4	0.2375
MRO	0.5766
ME2	0.77687
ELAC1	0.67509
SMAD4	0.44164
MEX3C	0.40495
DCC	0.064247
MBD2	0.0021157
POLI	0.070748
STARD6	0.29145
C18orf54	0.33262
DYNAP	0.1988
RAB27B	8.8346e-5
CCDC68	0.6709
TCF4	0.0011128
TXNL1	0.24906
WDR7	0.032894
BOD1L2	0.27906
ST8SIA3	0.23272
ONECUT2	0.96448
FECH	0.41516
NARS1	0.35501
ATP8B1-AS1	0.33746
ATP8B1	0.38702
NEDD4L	0.18326
ALPK2	0.47213
MALT1-AS1	0.62374
MALT1	0.91184
ZNF532	0.22532
SEC11C	9.4096e-4
GRP	0.52421
RAX	0.37453
CPLX4	0.58202
LMAN1	0.25317
CCBE1	0.57071
PMAIP1	0.65485
MC4R	0.99336
CDH20	0.6224
RNF152	0.33725
PIGN	0.063208
RELCH	0.047607
TNFRSF11A	0.034342
ZCCHC2	0.0020065
PHLPP1	0.62204
BCL2	0.522
KDSR	0.11137
VPS4B	0.21454
SERPINB5	0.84426
SERPINB12	0.29392
SERPINB13	0.25483
SERPINB4	0.040008
SERPINB3	0.05898
SERPINB11	0.37427
SERPINB7	0.26898
SERPINB2	0.41091
SERPINB10	0.28235
HMSD	0.77673
SERPINB8	0.82614
CDH7	0.11497
CDH19	0.23283
DSEL	0.53489
TMX3	0.83399
CCDC102B	0.591
DOK6	0.024826
CD226	0.016882
RTTN	0.43097
SOCS6	0.51285
GTSCR1	0.53652
CBLN2	0.65226
NETO1	0.93104
NETO1-DT	0.98641
FBXO15	0.10019
TIMM21	0.11135
CYB5A	0.36274
C18orf63	0.62268
DIPK1C	0.35194
CNDP2	0.20971
CNDP1	0.83747
ZNF407	0.010995
PTGR3	0.69309
TSHZ1	0.70951
SMIM21	0.37267
ZNF516	6.3031e-4
ZNF516-AS1	0.068283
ZNF516-DT	0.69149
ZNF236	0.023068
MBP	0.18639
GALR1	0.76017
SALL3	0.41676
ATP9B	0.51467
NFATC1	0.80331
CTDP1	0.011347
KCNG2	5.9101e-5
SLC66A2	0.0014023
HSBP1L1	0.12517
TXNL4A	0.097802
RBFA	0.28647
ADNP2	0.10726
PARD6G	0.18479
PLPP2	0.05127
MIER2	0.85206
THEG	0.79438
C2CD4C	0.57843
SHC2	0.53822
ODF3L2	0.16403
MADCAM1	0.31657
TPGS1	0.49749
CDC34	0.69802
GZMM	0.53604
BSG	0.047289
HCN2	0.27
POLRMT	0.13563
FGF22	0.031205
RNF126	0.095909
FSTL3	0.39444
PRSS57	0.27437
PALM	0.66088
MISP	0.30064
PTBP1	0.73911
PLPPR3	0.66995
AZU1	0.73844
PRTN3	0.34947
ELANE	0.91209
CFD	0.91023
MED16	0.94706
R3HDM4	0.61262
KISS1R	0.023228
ARID3A	0.68578
WDR18	0.13512
GRIN3B	0.24788
TMEM259	0.095086
CNN2	0.47922
ABCA7	0.19034
ARHGAP45	0.49718
POLR2E	0.92783
GPX4	0.073576
SBNO2	0.30755
STK11	0.059125
CBARP	0.038026
ATP5F1D	0.31563
MIDN	0.99715
CIRBP	0.32903
FAM174C	0.62157
EFNA2	0.62813
PWWP3A	0.22291
NDUFS7	0.40897
GAMT	0.51177
DAZAP1	0.6202
RPS15	0.9677
APC2	0.75414
C19orf25	0.7255
PCSK4	0.94465
REEP6	0.92828
ADAMTSL5	0.88727
PLK5	0.078784
MEX3D	0.61448
MBD3	0.96114
