GENEID	P
TRHDE-AS1	0.864713899
AL450423.1	0.864782173
RP11-313P13.3	0.864782173
RP11-457I16.4	0.864782173
RNU1-63P	0.864785445
AC026740.1	0.864872053
AC003991.3	0.86493478
RP11-290F20.2	0.8649731
RP1-63G5.5	0.8649731
PMM1	0.86499784
TERT	0.86499784
NSUN7	0.86499784
MRPS16	0.86499784
WDSUB1	0.86499784
RPL26P9	0.86499784
LINC00710	0.86499784
TMA7	0.86499784
RP11-307L3.4	0.86499784
RP11-137L10.5	0.86499784
RP11-727F15.11	0.86499784
SRPX	0.86507819
XRN1	0.865084866
CNGA1	0.865084866
RP11-218E20.3	0.865084866
AC092299.8	0.865096367
NR2E3	0.865126712
SPG11	0.865126712
WDR83OS	0.865126712
FAM96A	0.865126712
C12orf40	0.865126712
RNU6-328P	0.865126712
RP11-466A17.1	0.865126712
RP11-332K15.1	0.865126712
ANKRD20A14P	0.865126712
RNU7-4P	0.865126712
MIR138-1	0.865139887
ELANE	0.865169692
RP11-73M18.11	0.86518085
C19orf52	0.865323644
FGF12-AS1	0.865323644
GOLGA8Q	0.865495501
MKRN1	0.865530449
FAM222B	0.865530449
RP11-359H3.1	0.865530449
GALR3	0.865556128
RP11-442A13.1	0.865556128
RP11-498P14.4	0.865593276
CTD-2555A7.2	0.865593276
MIRLET7I	0.865624132
LINC00313	0.865632259
SOS1-IT1	0.865632259
USP17L2	0.865670836
RP11-138B4.1	0.865670836
RP11-214K3.5	0.865733365
RP11-452K12.4	0.865767028
GGT8P	0.865767028
CTD-2383M3.1	0.865768288
SNORA27	0.86579828
AC084872.1	0.865852759
RP11-26O3.1	0.865872346
GPR35	0.866073672
HPYR1	0.86615233
RP11-598F7.6	0.866172655
GON4L	0.866240088
EME1	0.866240088
COX20	0.866240088
LINC00612	0.866240088
PACS1	0.866279677
RP11-782C8.7	0.866279677
SPINT2	0.866532036
AC015989.1	0.866578494
AC002480.2	0.866605758
SMOX	0.866643806
TDO2	0.866643806
RP11-554A11.8	0.866643806
PLEKHG7	0.866671455
CTD-2012J19.3	0.866671455
CTD-3252C9.2	0.866768491
SDHB	0.866808031
MYO18B	0.866830398
RP11-346I3.2	0.866933582
RP11-418J17.3	0.866966148
TFDP2	0.867060496
AURKAPS1	0.867060496
RP11-203F10.5	0.867060496
ATP6V0D2	0.867103973
RP3-412A9.12	0.867103973
RPL22L1	0.867157072
RP3-417O22.3	0.867157072
IFNGR2	0.867227129
DPH3	0.867260235
TMSB10	0.867324714
SDCBP2	0.867485448
RP11-478C19.2	0.867485448
SUPV3L1	0.867527187
COX6B2	0.867527187
MRPL42P6	0.86755732
CYP4A22-AS1	0.867675562
AC016405.2	0.867691503
TCEA1P4	0.867787444
TSTD3	0.86783543
RP11-252K23.2	0.86783543
PCDH20	0.867871633
RP11-357C3.3	0.867990714
RP11-512F24.1	0.86801965
NDUFA8	0.868042978
CENPW	0.868042978
PSPHP1	0.868042978
RPL13AP5	0.868085519
3-Sep	0.86808797
RP11-231N9.1	0.86808797
RSPH6A	0.868105538
NDUFV3	0.868141775
LINC00887	0.868196622
AL359253.1	0.868237799
ZNF133	0.868630064
GJD2	0.868668779
DDAH2	0.868848612
RNU6-28P	0.868886072
MIR550A3	0.868886072
RP11-7I15.4	0.868886072
GLYATL1P2	0.868886072
AC105760.2	0.868888548
AC013480.2	0.868972923
MARK2P15	0.868972923
PRKCE	0.869035404
MXD3	0.869035404
RP11-474O21.5	0.869037467
RP11-162G10.5	0.869068063
CTD-2012J19.2	0.869068063
LONRF1	0.869183644
OR10Y1P	0.869359171
CYP4F2	0.869438436
ZPBP	0.869455666
CSRP2BP	0.869457507
FAM32B	0.869457507
RP11-621H8.1	0.869457507
KIAA1024	0.869488917
RP11-379P15.1	0.869488917
RP5-1077H22.2	0.869488917
RP11-6C10.1	0.869493751
RNU6-1158P	0.869631438
NDUFA5P3	0.869631438
RNA5SP325	0.869652594
RNA5SP305	0.869741522
AC005329.7	0.869741522
PSG11	0.869741725
ZNF829	0.869773987
RNA5SP126	0.869773987
BX649597.1	0.870029004
RP11-433J20.1	0.870029004
RN7SL188P	0.870029004
RP11-191L9.5	0.870049024
OR7E154P	0.870049024
ZHX1-C8ORF76	0.870049024
REV3L	0.870216814
GSPT1	0.870216814
CTA-217C2.1	0.870216814
RP11-395C3.1	0.870216814
RP4-535B20.4	0.870216814
CNOT3	0.870368598
TMOD3	0.870414473
RP11-576E20.1	0.870446101
AC083899.3	0.870514804
RP11-359D14.2	0.870514804
AL109767.1	0.870514804
SLC46A2	0.870545105
FAM98C	0.870545105
VPS45	0.870545105
SUN3	0.870545105
RP11-736E3.1	0.870545105
CYCSP10	0.870545105
RP11-317P15.4	0.870545105
RPS15AP10	0.870630369
RPL26P35	0.871017875
AC069278.4	0.871017875
RP11-507K2.2	0.87105205
RNU6-267P	0.871108092
GPT2	0.87116731
GPBP1L1	0.871181516
EXOC7	0.871181516
ZNF252P	0.871181516
FGF12-AS3	0.871181516
KB-1000E4.2	0.871181516
ALG1L2	0.871256175
KRT36	0.87128776
RPL13	0.87128776
RNA5-8SP3	0.87128776
SNRPEP9	0.87128776
ZMYND19P1	0.87128776
MIR3911	0.87128776
MIR5009	0.87128776
CTA-253N17.1	0.87135409
RP11-578F21.10	0.87135409
RASGEF1B	0.871363858
ADAM17	0.871363858
RPS6KA3	0.871363858
RP11-71C5.2	0.871363858
AC139099.3	0.87140584
DUS2	0.871409787
RP11-227G15.2	0.871497644
AL162151.4	0.871525416
HNRNPA1P57	0.871552991
TBCAP1	0.87158645
MIR3200	0.871889128
C15orf60	0.87191043
ZNF41	0.871931813
SYT13	0.872032753
TUBB	0.872032753
RP11-982M15.6	0.872105237
AC007880.1	0.87210564
APOBEC3H	0.872150941
GREM2	0.872150941
RP11-373E16.3	0.872150941
RNU4ATAC11P	0.872150941
KIAA0895L	0.872167493
NELFB	0.872237108
RP11-449D8.1	0.87229699
HIST1H2AC	0.872320013
RAB9A	0.872364055
CHFR	0.872419127
AC105921.5	0.872419127
RNU7-107P	0.872439775
ZNF879	0.872445414
MSH3	0.872503527
5-Sep	0.872559205
RP11-379B18.3	0.872584666
AKR7L	0.872652245
RP11-84E24.3	0.872732368
PHYH	0.872772326
VAMP4	0.872779733
FAM76B	0.872785985
MMP2	0.872785985
METTL2B	0.872785985
MRVI1-AS1	0.872785985
RP11-197P3.5	0.872785985
NANOGP8	0.872785985
RP11-465O11.2	0.872785985
CTD-2083E4.6	0.872792811
XXbac-BPG299F13.17	0.872792811
GRTP1	0.872808278
MIR3180-4	0.872823978
ARHGEF40	0.872909459
GLIPR1L1	0.872920854
AC073284.4	0.872969053
AL359757.1	0.872969053
ITGA4	0.873011482
CTC-527H23.4	0.87304943
AC025280.1	0.873050676
MEIS1-AS3	0.873164365
KB-1043D8.6	0.873164365
RNU6-238P	0.873231463
DNTTIP1	0.873632252
TMEM52B	0.873632252
C1orf194	0.873632252
RP3-337H4.8	0.873632252
RP11-519C12.1	0.873632252
KB-1440D3.13	0.873632252
LOH12CR1	0.873688791
POU2F3	0.873854614
AC092384.1	0.873854614
SH2B1	0.873941796
RP11-164C12.1	0.873977917
RP11-109M19.3	0.874035373
KRT32	0.874102679
IFIH1	0.874102679
AC140076.1	0.874102679
AL669831.1	0.874102679
GRK6	0.874124284
RNU6-1154P	0.874124284
RP3-403L10.2	0.874124284
YY2	0.874161687
RNU6-396P	0.874293204
AC137932.5	0.874295608
RP11-155G15.3	0.874372598
ZNF500	0.874385783
ZNF765	0.87441089
TBX10	0.874543231
CSMD1	0.874628951
RP11-466C23.4	0.874664467
ZRANB1	0.874687091
SCARB1	0.874687091
LYPLA1	0.874687091
GABPB2	0.874687091
CCDC168	0.874687091
CRIPAK	0.874687091
MROH2A	0.874687091
AL157788.1	0.874687091
UBE2V2P3	0.874687091
FNTAP2	0.874704565
MIR155HG	0.874704565
ABCB1	0.87476092
KRT8	0.87479101
RNU6-574P	0.874859934
CDK2AP2	0.874938086
RP11-554L12.1	0.87498324
RP11-692M12.5	0.87498324
ZNF346-IT1	0.875047855
ATP1A1OS	0.875060155
AC079298.1	0.875084611
CCT6A	0.875233622
RNU6-595P	0.875233622
RP11-54C4.1	0.875233622
HIST2H2BD	0.875233622
RNU6-1123P	0.875321573
RP11-307E17.8	0.875321573
RP11-456A14.1	0.875321573
RP11-448P19.1	0.875321573
CTD-2006K23.2	0.875321573
ACTR3	0.875542671
NPSR1	0.875542671
RN7SL316P	0.875599248
KLF7P1	0.875681579
RNU6-805P	0.875702194
F11-AS1	0.875758406
COPG1	0.87580793
EEF1A1P5	0.875835994
PAFAH2	0.875865828
TMSB4XP2	0.875943787
SYNE2	0.875955953
SETD1A	0.875970453
TMEM79	0.875970453
RN7SL864P	0.875970453
RP11-620J15.3	0.875970453
RN7SL202P	0.875970453
RP11-713H12.2	0.875970453
AC068134.5	0.876049379
CTD-2192J16.11	0.876049379
B4GALNT4	0.876061859
RP11-492E3.51	0.876061859
RP4-769N13.6	0.876067303
HIST1H2BF	0.876155301
RP1-303A1.1	0.876155301
ARHGAP11B	0.876289276
AC006001.1	0.876338837
RP11-634B7.4	0.876395103
FCF1	0.876493233
AC012065.5	0.876575934
ASH2L	0.876578172
RP11-1029F8.1	0.876578172
RP11-489C13.1	0.876591886
AC092684.1	0.876591886
RBM4	0.876594027
RPS26P56	0.876594027
NAB2	0.876615774
POLR1C	0.87663212
RP11-313M3.1	0.876681889
ZBTB12P1	0.876763252
MAGI2-AS1	0.876763252
C1orf53	0.876810306
ANKRD66	0.876819534
CCDC39-AS1	0.876819534
LAMTOR2	0.876832505
TUBGCP2	0.876832505
CCDC66	0.876832505
UBE2Q2P1	0.876832505
OR10D1P	0.876832505
MIR320A	0.876832505
RP11-172C16.5	0.876875139
GS1-531I17.2	0.876875139
RP11-923I11.4	0.876884051
EXOC3	0.876960774
CDKL3	0.877101715
C9orf139	0.877101715
RP11-436G20.1	0.877101715
ANKRD18EP	0.877123718
SLC30A7	0.877177777
SCAMP5	0.877177777
MIR3612	0.877245338
BTBD2	0.877283388
RP4-635E8.1	0.877283388
CTAGE9	0.877283388
FGD5-AS1	0.877413892
RNU6ATAC24P	0.877501894
NCR3LG1	0.877504877
POU6F2-AS1	0.877680646
NSRP1P1	0.877856684
ROCK1	0.877967627
RP11-797A18.4	0.877967627
RP11-563N4.1	0.878033922
ATP6V1C1	0.878071177
LINC00598	0.878071177
TCF12	0.878071755
RP11-55K22.2	0.878071755
RNA5SP337	0.878071755
RHPN1-AS1	0.878084797
POM121L2	0.878124603
AC110781.3	0.878124603
RP11-141C7.3	0.878124603
RPL5P20	0.878133363
RP11-613M5.3	0.878135352
HIBADH	0.878324578
RP11-798G7.6	0.878463264
SNORD114-29	0.878640736
ITPK1-AS1	0.878640736
KIAA0753	0.878656153
NDUFB2-AS1	0.878656153
RNU4-14P	0.878694522
KCNK12	0.878716926
RP11-536C5.7	0.878716926
RANP4	0.878830085
RP5-827A12.2	0.878887645
RN7SL500P	0.878887645
CTD-3222D19.5	0.878887645
RNU6-1182P	0.878978773
BANF1	0.879015832
RP11-62C3.8	0.879015832
MRPL27	0.87905622
RP4-537K23.4	0.87905622
RP11-63B19.1	0.87905622
MIR381HG	0.87905622
RP11-108K3.1	0.87905622
DHTKD1	0.879079458
RABIF	0.879079458
CKMT2	0.879140389
TBC1D4	0.879140389
AGAP8	0.879140389
KIF18B	0.879140389
RP11-262H14.11	0.879140389
PCDHGB2	0.879140389
RP11-270M14.4	0.879140389
AL136380.1	0.879140389
SEC16A	0.879217707
Z98881.1	0.879217707
RP11-567P17.2	0.879217707
MIR3941	0.879217707
CSRNP3	0.879223027
PSMD10	0.879254556
NOVA2	0.879254556
KB-1205A7.2	0.879254556
TEX30	0.879262927
1-Sep	0.879262927
TOB2	0.879262927
RNU6-770P	0.879262927
RP11-573D15.9	0.879266917
RP11-460N20.5	0.879325948
RNU6-597P	0.879384178
MIR185	0.879384178
AC107072.2	0.879384178
CCDC33	0.879387431
AC116366.6	0.879416316
AC110619.1	0.87943701
AC002429.5	0.879479321
RAB26	0.879502941
CADM2-AS2	0.879503112
FSCN3	0.879562088
RSPH10B2	0.879662794
RPL7L1P12	0.879662794
GP1BA	0.879705686
AC003009.2	0.879705686
RFC4	0.87974325
MIR4764	0.87974325
GSTT2B	0.879780965
AC007256.5	0.879780965
AC023137.2	0.879780965
LA16c-321D4.1	0.879780965
MIR4479	0.87978863
GABRA2	0.879792283
SHOC2	0.879817294
UAP1	0.879817294
GBP4	0.879817294
TCEA1	0.879817294
C17orf100	0.879817294
AJ009632.3	0.879817294
RP11-51F16.5	0.879817294
RP11-267J23.1	0.879944728
AC018506.1	0.879944728
GTF2F1	0.880004684
COPS4	0.880004684
LRRC8C	0.880004684
PDZD3	0.880004684
SP3	0.880004684
SLC35E2	0.880004684
RP1-34M23.5	0.880004684
ZFYVE27	0.880011801
RP11-461O14.1	0.880059072
RNA5SP25	0.880082712
SRRM3	0.880144833
YBX1P7	0.880200996
CTD-2619J13.16	0.880200996
FGF22	0.880291052
RBM11	0.880291052
RP11-15B17.3	0.880291052
CBWD2	0.880343767
SFTPA2	0.88039534
TMEM14C	0.880427861
RNU6-1107P	0.880432525
TSFM	0.880526018
SOX1	0.880526018
AC093627.12	0.880526018
SLC23A1	0.880557226
SNORD22	0.880592723
SUGT1P	0.880636674
DCX	0.880697115
MIR3146	0.880697115
MAT1A	0.880753064
RP11-574K11.31	0.880783094
RP11-114H23.1	0.880829581
MT-RNR2	0.88084298
HBCBP	0.880960142
HAX1	0.881016452
CHTOP	0.881043195
RP11-497H16.2	0.881305668
PCIF1	0.881309301
LINC00843	0.881309301
GLUD1P9	0.881309301
MIR3162	0.881309301
RP11-378E13.4	0.881309301
RP11-876F14.1	0.881315983
RPS6P16	0.881340295
RP11-829H16.5	0.881496394
VDAC1P6	0.881497804
AC007620.3	0.881497804
RP5-1121E10.2	0.881576085
ERI1	0.881630819
RP11-67M9.1	0.88172139
MSH4	0.881821259
CCAR1	0.881821259
AC090587.2	0.881821259
EPS8L1	0.881827273
HNRNPA1P68	0.881827273
TOR1AIP2	0.881833291
MAN2A2	0.881833291
RNA5SP104	0.881833291
RP11-91A18.4	0.881833291
VN1R40P	0.881833291
AD000090.2	0.881925732
RBM41	0.882073093
HIST1H2BG	0.882079514
RP11-413E1.4	0.882079514
RN7SKP79	0.882092882
AC000099.1	0.882103462
RP11-309I15.1	0.882128448
NAA50	0.882175338
ARID3B	0.882175338
CBR3-AS1	0.882175338
RP11-66H6.3	0.882190931
RP11-30J20.1	0.882191321
RP11-252A24.2	0.88231258
HNRNPA3P14	0.88231258
RP4-564O4.1	0.88231258
RP11-493E12.2	0.882478401
STARD7	0.882525457
RP1-102G20.5	0.882541533
VDAC3	0.882606222
RP11-34D15.2	0.882606222
TRAF2	0.882655162
LRRTM4	0.882655162
ERCC6L	0.882655162
RP11-16P6.1	0.882655162
ULBP2	0.882656749
NECAP1P1	0.882656749
DUTP2	0.882662934
ACTA2	0.88268128
IL12B	0.88268128
ADAD2	0.88268128
RPS15AP12	0.88268128
ANAPC1P1	0.88268128
HNRNPA1P29	0.88268128
RP11-384J4.2	0.88268128
RP11-339B21.14	0.88268128
RPS19	0.882721294
RP11-87E22.1	0.882757983
DYNLT3P2	0.882945424
RP11-692M12.4	0.882945424
AL583860.1	0.882991825
RP11-405A12.1	0.883001014
VGLL4	0.883005593
NOTCH2NL	0.883005593
KRT8P41	0.883005593
GLUD1P6	0.883005593
UBL7-AS1	0.883005593
RP11-10C24.3	0.883031609
AC006277.2	0.883194821
GLRB	0.883235134
RNU7-67P	0.883235134
KB-1027C11.4	0.883331273
AC005822.1	0.883331273
OR5AH1P	0.883331273
CEP135	0.883331564
YOD1	0.883361044
MIR3978	0.883410068
GINS1	0.883435643
CXorf48	0.883435643
RP11-61A14.2	0.883435643
SETX	0.883507515
TENC1	0.883507515
RNU1-47P	0.883507515
RP11-109M19.2	0.883507515
AC092933.4	0.883519585
SLC2A3	0.883616139
MRPS30	0.883619597
UBA1	0.88369651
STRA13	0.883769126
RP11-749H20.4	0.88382224
RNU6-1091P	0.88387631
EIF2B1	0.883912433
SLC35D1	0.883970708
ZC3HAV1L	0.883970708
AC016772.4	0.884231092
RP11-46H11.3	0.884231092
DNAJB4	0.884241389
RP11-439E19.1	0.884245439
LCMT2	0.884293565
RLF	0.884306391
RP11-95P2.3	0.884306391
RP11-107K17.2	0.884306391
CDT1	0.884358595
RNU6-652P	0.884358595
RP11-395B7.2	0.884358595
CTD-2514K5.4	0.884358595
CTB-102L5.8	0.884358595
TBX2	0.884362515
RPL36P19	0.884489762
EXOC4	0.884524852
EYA1	0.884562691
ECM2	0.884562691
PPP1R14B	0.884562691
RP11-94B19.1	0.884562691
RP3-391O22.1	0.884655859
MIR548I2	0.884655859
RP11-58A11.2	0.884655859
ZDHHC15	0.884686969
RNU6-136P	0.884686969
MRPS31P2	0.884721179
RP1-66C13.4	0.884786443
PTPRN	0.884894609
RXRB	0.885046491
CYCSP42	0.885183806
RP13-16H11.2	0.885293821
AC005831.1	0.8853109
AC010082.2	0.885415147
RP11-541E12.1	0.885468754
DDX11-AS1	0.885525858
RP11-170N16.2	0.885531848
RP11-944C7.1	0.885533874
CHRAC1	0.885593591
RNY3P3	0.885599965
LGMN	0.885639547
RP13-401N8.1	0.885639547
AP000688.15	0.885749079
RP11-744K17.1	0.885749079
FAM35DP	0.885752938
SPSB2	0.885757456
CDH5	0.885757456
AC064874.1	0.885757456
CTD-2140G10.2	0.885757456
AP000719.1	0.885757456
RP11-301G23.1	0.885822203
RBM22	0.885826735
ALDOA	0.885826735
RP11-417J8.6	0.88588349
DNASE1L3	0.886027341
PTF1A	0.886027341
AC090519.5	0.886027341
CTC-571O20.1	0.886027341
WASL	0.886135897
PARN	0.886135897
CELF5	0.886135897
RP4-798A10.4	0.886135897
RP1-136J15.5	0.886135897
MRPS21P7	0.886135897
THA1P	0.886135897
SPESP1	0.886198582
CACTIN-AS1	0.88621454
RP11-383C5.3	0.88621454
AC018638.1	0.88621454
LL22NC03-2H8.5	0.88621454
RP1-167A14.2	0.886249207
RP11-537E18.1	0.886315181
CTB-131B5.2	0.886433864
CEP120	0.886459224
LINC01071	0.886459224
ZDHHC4P1	0.886459224
SPCS2P3	0.886459224
GLI2	0.88665812
RP11-83M16.2	0.886674487
CTD-2553C6.1	0.886674487
RP11-467D18.2	0.886698015
OSBP	0.88670029400000006
HJURP	0.88670029400000006
AQP7P1	0.88670029400000006
TMPRSS11GP	0.88670029400000006
AC073316.1	0.88670029400000006
KRT8P13	0.88670029400000006
RP11-10C8.2	0.886779394
ABCF2P1	0.886811155
OR10W1	0.886864068
CTD-2008L17.1	0.886864068
SNAP91	0.886944486
GTSF1	0.887005737
RPL24P4	0.887005737
SCN1B	0.887061152
AC009234.1	0.887066786
RP11-109D20.1	0.887066786
EML3	0.887082762
AC073321.3	0.887082762
RP11-303E16.2	0.887142455
RP11-321A17.3	0.88725806
RP11-496D24.2	0.887260655
PGAM1P6	0.887333851
HAAO	0.887454812
ASB5	0.887454812
AC016697.2	0.887454812
SLBP	0.887507529
MYBPH	0.887566341
RN7SL187P	0.887566341
CHRNE	0.887582083
RP3-403L10.3	0.887582083
RP11-356M20.3	0.887582083
RP11-574K11.28	0.887590141
MTND5P20	0.887657358
C5orf42	0.887737203
RPS3P2	0.887737203
RP11-436F9.1	0.887737203
RSU1P2	0.887737203
NSFP1	0.887737203
AC113607.1	0.888004116
CYCSP25	0.888004116
RP11-782C8.2	0.888031947
CHST9	0.888148821
RPP30	0.888153406
TBL1Y	0.888339459
SHD	0.888339459
SFTPB	0.888339459
CTD-2537O9.1	0.888339459
CACNG7	0.888431586
POLE4	0.888431586
WDFY2	0.888431586
CHODL	0.888431586
RP3-522P13.2	0.888431586
IFIT6P	0.888431586
RP11-270L13.1	0.888431586
AC004603.4	0.888431586
RP5-837O21.1	0.888431586
HNRNPA1P42	0.888431586
AC011747.4	0.888431586
RP11-674J14.3	0.888431586
RP11-368J21.3	0.888431586
AL137229.1	0.888431586
RP11-295M18.6	0.888431586
AP1M2	0.888468368
UNC93B2	0.888468368
WDR34	0.888494487
RP5-884C9.2	0.888514631
PON1	0.888561971
EPHX3	0.888561971
PDZRN3	0.888561971
AP3S2	0.888561971
RP11-958N24.1	0.888561971
RP11-706O15.5	0.888561971
MIR550A1	0.888561971
IGBP1-AS2	0.888561971
RP11-473E2.2	0.888561971
SMG7-AS1	0.888561971
AL163953.3	0.888561971
CTD-2130F23.2	0.888561971
RP11-214K3.24	0.888561971
AC004381.6	0.888622095
FH	0.88863904
KCNJ3	0.888667504
RP11-229P13.19	0.888667504
MIR4487	0.888675863
RP1-166H4.2	0.88870948
FBN1	0.888717712
HES7	0.888717712
RP1-35C21.2	0.888717712
AC067718.1	0.888738734
RP11-92K15.1	0.888738734
RNU6-223P	0.888788921
SAMD11P1	0.888788921
RN7SL426P	0.888807581
CASD1	0.888824326
ARL2BPP6	0.888940696
RECQL5	0.888983167
SLC22A20	0.889032401
MIR554	0.889032401
PIP4K2B	0.889038399
RP11-328P23.2	0.889038399
TECR	0.889087527
TOX4P1	0.889087527
SRP68P2	0.889102421
PSPC1P1	0.889102421
AC020915.2	0.889102421
STAG3L2	0.889194751
AC006466.5	0.889194751
GS1-124K5.9	0.889261751
RP11-373D23.2	0.889287651
RP11-1157N2__B.2	0.889322102
NBEAP1	0.88933434
ISG20	0.889336048
LATS2-AS1	0.889336048
PPP1R16B	0.889371811
RP11-475I24.3	0.889371811
CBX5P1	0.889371811
ZNF827	0.889401921
RP11-552M11.8	0.889510695
ELMOD1	0.889562226
ART1	0.889687865
MYRIP	0.889687865
TIAF1	0.889687865
RP1-85F18.6	0.889687865
BLZF2P	0.889760678
BLVRB	0.889827394
RP5-1166F10.1	0.889930162
KIF11	0.890027279
SNRPD2	0.890165202
GJA5	0.890165202
AC078852.1	0.890165202
RP11-128L5.1	0.890170244
MAB21L3	0.8902354
RP11-370B11.3	0.8902354
CTC-344H19.4	0.8902354
DNAJC3	0.890338944
RP11-637A17.2	0.890338944
HIGD1AP17	0.890338944
SNORD113-6	0.890396884
AC003666.1	0.890451689
RP11-15J10.8	0.890633276
RP11-697N18.4	0.890633276
AC011742.5	0.89066471
RP11-512N21.3	0.890710719
RP11-435B5.3	0.890842544
AP000355.2	0.890845238
ERBB4	0.890991309
PLEKHM1P	0.890991309
AC018643.4	0.891042352
RP11-408E5.5	0.891042352
RP11-529P9.1	0.891042352
PHACTR2	0.891153615
RP5-1041C10.3	0.891153615
RP11-1149M10.2	0.891153615
RP11-705C15.4	0.891153615
CTC-482H14.5	0.891153615
TTC17	0.891236098
PRDM15	0.891279359
KIAA1328	0.89131471
LYSMD3	0.89131471
RP1-167G20.2	0.89131471
SMO	0.891400514
TMEM99	0.891400514
AC068279.3	0.891400514
LIG1	0.891504702
SYPL2	0.891504702
DCLK2	0.891504702
RP11-59H7.1	0.891504702
CIRBP-AS1	0.891504702
GRAMD1B	0.891561049
DGCR2	0.891561049
C6orf211	0.891561049
FCN2	0.891561049
MYOZ2	0.891561049
TMIE	0.891561049
RP11-325I22.1	0.891561049
LINC00621	0.891561049
RP11-245P10.6	0.891561049
RN7SKP72	0.891594748
RN7SKP261	0.891657128
GOLGA3	0.891708288
RWDD4	0.891825422
RP11-879F14.2	0.891833438
PTPRE	0.891929946
RP11-1084E5.1	0.891951451
RP11-147G16.1	0.892031739
RN7SL116P	0.892031739
PHPT1	0.892121065
C6ORF50	0.892121065
SNAPC4	0.892121065
ANKRD13D	0.892121065
RP11-712L6.5	0.892121065
RP11-96D1.6	0.892121065
AC132515.1	0.892134556
RBM46	0.892173056
DUXAP4	0.892273668
GOLGA8I	0.892302951
RNU7-189P	0.892324799
RP11-405A12.2	0.892324799
RP11-317N6.1	0.892324799
RNY4P3	0.892347723
MAPKAPK5-AS1	0.892455359
EGFL7	0.892709423
DFNB59	0.892744107
C4BPAP2	0.892744107
WIPF2	0.892937831
MEF2B	0.893032486
SRGNP1	0.893032486
SIPA1L3	0.893040008
KIF26B	0.893060371
RP11-196P2.1	0.893060371
RP11-98C1.1	0.893060371
ILF3	0.893108994
TRPM3	0.89311749
FAM86A	0.89311749
NDUFB11	0.89311749
NEGR1	0.89311749
PGAM1P2	0.89311749
Z83001.1	0.89311749
FAM96AP1	0.89311749
AC096579.13	0.89311749
CTD-3064M3.4	0.89311749
RP4-765H13.1	0.89311749
LHX6	0.893141214
RP11-307C12.11	0.893218683
ACBD7	0.893243121
AC004562.1	0.893243121
RP11-797A18.3	0.893243121
RNU11-3P	0.893263788
RPS2P44	0.893263788
BMF	0.893470912
MACF1	0.893470912
SNORD75	0.893470912
AC046143.3	0.893470912
AC011551.3	0.893470912
AC072062.3	0.893498747
NTS	0.893499356
ZNF514	0.893533341
RP4-778K6.1	0.893533341
LECT2	0.893545154
LDHAL6A	0.893545154
RNU6-228P	0.893545154
RP11-494K3.2	0.893545154
RP11-253A20.1	0.893545154
RP11-416A17.6	0.893545154
CTD-2542C24.3	0.893545154
CD8B	0.893545217
COX15	0.893658649
SV2B	0.893676433
RNU1-94P	0.893676433
RP11-589C21.5	0.893810225
RP11-561O23.8	0.893863655
RP11-283I3.1	0.893863655
AC004878.5	0.893885874
RP11-923I11.5	0.893938996
RGL1	0.894105784
SKA3	0.894105784
ADAM32	0.894203454
CENPQ	0.894212111
TOE1	0.894289078
LINC00862	0.894297302
IL7	0.894366949
COX5B	0.894366949
CPSF2	0.894394389
CTD-2538A21.1	0.894394389
RP11-468H14.2	0.894394389
CTB-113P19.3	0.894394389
RP11-334E6.3	0.894394389
RP11-525E9.1	0.894394389
EIF4EBP1P1	0.894394389
RP11-521O16.1	0.894394389
TCEB1P23	0.894422108
MTND5P10	0.89446169
GRIA4	0.894471539
CAPNS1	0.894480633
AC022537.1	0.894480633
RP11-528I4.2	0.894697007
TPST2P1	0.894701153
RP4-621B10.8	0.894701153
PFKFB2	0.894743882
SNORA34	0.894864336
RP11-146F11.2	0.894864336
CREM	0.894897227
C1orf35	0.894897227
RLTPR	0.894897227
ANGEL2	0.894897227
C11orf95	0.894897227
MIR491	0.894897227
HMGN2P16	0.894897227
RP11-665C16.1	0.894897227
RNU6-135P	0.894897227
RP11-439E19.10	0.894897227
RP5-1120P11.4	0.895001008
RP11-123C21.1	0.89501305
PDXDC1	0.895092247
POLN	0.89511792
MOCS2	0.89511792
BCL2L1	0.89511792
AC012487.2	0.89511792
TCEA2	0.895139784
MTND1P19	0.8951843
ST3GAL1	0.895372123
TUT1	0.895372123
CTD-2095E4.1	0.895372123
REV3L-IT1	0.895425691
MIR3121	0.895497501
PON3	0.895605049
KNDC1	0.895620635
MIRLET7A2	0.895620635
RP11-310E22.5	0.895681923
KBTBD12	0.895705709
RP11-1C8.4	0.895705709
TBK1	0.895783839
AP001258.4	0.895838851
AC016723.4	0.895881294
MIF4GD	0.895902216
ZFHX3	0.895902216
RNA5SP259	0.895902216
RN7SL78P	0.895902216
AC135050.5	0.895979788
RP11-12A20.8	0.895993866
AC007568.1	0.896003774
SUFU	0.896065446
AC007349.7	0.896080741
RP11-300A12.2	0.896080741
RP1-118J21.25	0.896080741
CBY1	0.896420196
COX14	0.896420196
HEXA	0.896420196
KRT18P50	0.896420196
MTAPP2	0.896420196
RP11-686D22.10	0.896420196
RP11-809H16.4	0.896573026
RNU6-512P	0.89663301
MIR4493	0.89663301
ARG2	0.896764504
FFAR2	0.896764504
TBC1D10C	0.896764504
DSTNP1	0.896764504
AP001604.3	0.896764504
BCLAF1	0.896765881
ST3GAL5	0.896788483
RP11-598C10.2	0.896808147
RP3-467K16.4	0.896808147
