HEIGHT(control)	P
TEX9	8.12E-09
MNS1	3.17E-09
ZNF280D	7.89E-07
TCF12	0.00045726
CGNL1	1.52E-10
MYZAP	4.68E-05
GCOM1	1.14E-06
POLR2M	0.00017735
ALDH1A2	0.098452
AQP9	5.66E-07
NA	0.00081259
LIPC	0.0050187
ADAM10	0.010702
MINDY2	0.0013597
SLTM	0.33628
RNF111	0.052654
CCNB2	0.069276
MYO1E	0.00015627
LDHAL6B	0.31024
FAM81A	0.74935
GCNT3	0.41657
GTF2A2	0.00041728
BNIP2	1.77E-05
ANXA2	1.04E-05
ICE2	5.31E-08
RORA	1.53E-26
VPS13C	5.00E-10
C2CD4A	1.00E-50
C2CD4B	0.00021098
TLN2	1.66E-16
TPM1	0.0054839
LACTB	7.81E-08
RPS27L	8.74E-05
RAB8B	2.02E-05
APH1B	0.001898
CA12	1.21E-06
USP3	0.00010596
FBXL22	0.25365
HERC1	4.19E-06
DAPK2	0.00090826
CIAO2A	0.37597
SNX1	0.11683
SNX22	3.51E-07
PPIB	1.68E-06
CSNK1G1	0.00039015
PCLAF	0.015359
TRIP4	0.18248
ZNF609	0.12978
OAZ2	0.88589
RBPMS2	0.138
PIF1	2.48E-07
PLEKHO2	1.45E-07
ANKDD1A	9.57E-10
SPG21	4.80E-10
MTFMT	1.37E-11
SLC51B	0.0021258
RASL12	2.76E-05
KBTBD13	0.047074
UBAP1L	0.24459
CLPX	0.075972
CILP	6.22E-08
PARP16	0.011756
IGDCC3	0.00056996
IGDCC4	5.81E-16
DPP8	2.51E-15
HACD3	9.35E-06
INTS14	1.13E-09
SLC24A1	5.00E-10
DENND4A	1.57E-14
RAB11A	7.92E-07
MEGF11	3.74E-13
DIS3L	6.77E-13
TIPIN	2.86E-05
MAP2K1	2.62E-09
SNAPC5	0.52413
RPL4	0.43142
ZWILCH	5.12E-10
LCTL	2.01E-09
SMAD6	5.00E-10
SMAD3	2.15E-15
AAGAB	2.06E-15
IQCH	2.51E-13
C15orf61	0.46149
MAP2K5	1.14E-08
SKOR1	3.96E-06
PIAS1	3.67E-08
CALML4	3.07E-07
CLN6	4.43E-06
FEM1B	2.15E-06
ITGA11	9.21E-05
CORO2B	0.010801
ANP32A	6.29E-06
SPESP1	0.01563
NOX5	0.11585
GLCE	0.0012127
PAQR5	0.33367
KIF23	0.95714
RPLP1	0.94309
TLE3	5.00E-10
UACA	0.0082176
LARP6	0.31658
LRRC49	3.92E-06
THAP10	0.020457
CT62	1.17E-07
THSD4	4.28E-16
NR2E3	5.00E-10
MYO9A	1.72E-14
SENP8	1.72E-16
GRAMD2A	1.93E-15
PKM	4.18E-16
PARP6	5.00E-10
CELF6	5.00E-10
HEXA	5.13E-17
TMEM202	0.013694
ARIH1	5.00E-10
NA	0.00020812
BBS4	7.06E-10
ADPGK	2.84E-13
NEO1	4.25E-07
HCN4	5.93E-11
REC114	5.51E-07
NPTN	1.57E-05
CD276	4.59E-11
INSYN1	1.87E-08
TBC1D21	5.00E-10
LOXL1	5.00E-10
STOML1	5.00E-10
PML	1.14E-16
ISLR2	0.0076205
ISLR	5.00E-10
STRA6	5.00E-10
CCDC33	9.56E-12
CYP11A1	1.59E-12
SEMA7A	4.11E-09
UBL7	5.00E-10
ARID3B	7.76E-17
CLK3	1.86E-15
EDC3	5.49E-15
CYP1A1	2.74E-14
CYP1A2	0.34731
CSK	0.00032265
LMAN1L	1.78E-05
CPLX3	0.00046752
ULK3	0.00091539
SCAMP2	4.54E-08
MPI	0.65146
FAM219B	0.069941
COX5A	0.044469
SCAMP5	5.90E-06
PPCDC	9.91E-08
C15orf39	8.97E-07
COMMD4	5.00E-10
NEIL1	5.00E-10
MAN2C1	1.36E-12
SIN3A	3.16E-12
PTPN9	1.38E-13
SNUPN	3.34E-16
IMP3	9.84E-12
SNX33	0.26327
CSPG4	1.55E-10
ODF3L1	0.018513
UBE2Q2	3.55E-13
FBXO22	7.76E-11
NRG4	5.80E-13
TMEM266	1.19E-12
ETFA	4.69E-10
ISL2	1.20E-12
SCAPER	5.00E-10
RCN2	1.52E-15
PSTPIP1	5.00E-10
TSPAN3	5.00E-10
PEAK1	5.00E-10
HMG20A	1.13E-14
LINGO1	9.47E-06
COMMD4P1	0.021929
TBC1D2B	0.00010861
SH2D7	0.059372
CIB2	0.019315
IDH3A	0.11329
ACSBG1	0.094796
DNAJA4	0.00044264
SKIC8	0.24328
CRABP1	3.68E-06
IREB2	0.00079578
HYKK	0.046944
PSMA4	0.028769
CHRNA5	0.17617
CHRNA3	0.37676
CHRNB4	0.096053
ADAMTS7	0.30783
MORF4L1	0.00028974
CTSH	1.14E-06
RASGRF1	0.0488
ANKRD34C	0.34155
TMED3	0.011876
MINAR1	0.39109
MTHFS	0.25662
ST20-MTHFS	0.37896
ST20	0.73619
BCL2A1	0.17103
ZFAND6	0.017842
FAH	0.0022501
ARNT2	0.1111
ABHD17C	0.0014821
CEMIP	0.0029783
MESD	3.79E-07
CFAP161	0.1489
IL16	1.65E-14
STARD5	0.39118
TMC3	0.24138
EFL1	2.49E-05
SAXO2	0.024096
CPEB1	1.77E-05
AP3B2	8.51E-06
FSD2	2.14E-06
WHAMM	5.41E-06
HOMER2	1.01E-07
C15orf40	0.00093351
BTBD1	0.00036644
TM6SF1	0.00034914
HDGFL3	1.30E-05
BNC1	3.98E-06
SH3GL3	5.86E-14
ADAMTSL3	3.61E-16
ZSCAN2	5.00E-10
WDR73	5.00E-10
NMB	5.00E-10
SEC11A	5.00E-10
ZNF592	1.08E-14
ALPK3	3.94E-15
SLC28A1	1.51E-13
PDE8A	5.00E-10
AKAP13	1.81E-14
KLHL25	5.00E-10
AGBL1	2.04E-06
NTRK3	3.25E-07
MRPL46	1.86E-05
MRPS11	0.0040231
DET1	1.90E-15
AEN	1.37E-07
ISG20	1.11E-12
ACAN	6.20E-13
HAPLN3	5.00E-10
MFGE8	5.00E-10
ABHD2	9.21E-14
RLBP1	1.38E-15
FANCI	4.09E-16
POLG	5.00E-10
RHCG	9.58E-05
TICRR	4.85E-16
KIF7	4.33E-13
PLIN1	2.68E-14
PEX11A	4.39E-08
WDR93	0.00046633
MESP2	0.47031
ANPEP	0.00022099
AP3S2	4.21E-05
ARPIN-AP3S2	0.00011057
ARPIN	2.48E-06
ZNF710	5.00E-10
IDH2	5.02E-07
SEMA4B	0.5744
CIB1	0.36327
GDPGP1	0.10907
NGRN	0.40234
ZNF774	5.68E-10
IQGAP1	1.88E-15
CRTC3	5.70E-15
BLM	1.05E-14
FURIN	2.78E-15
FES	5.40E-09
MAN2A2	5.78E-09
UNC45A	5.44E-09
HDDC3	8.34E-08
RCCD1	3.60E-09
PRC1	3.91E-06
VPS33B	0.004143
SV2B	0.049827
SLCO3A1	7.52E-13
ST8SIA2	0.51098
C15orf32	0.0015366
FAM174B	0.008641
CHD2	5.50E-15
RGMA	1.41E-08
MCTP2	0.0018653
NR2F2	0.00022496
SPATA8	0.50738
ARRDC4	0.0045055
FAM169BP	0.045262
IGF1R	1.06E-13
PGPEP1L	5.00E-10
SYNM	0.016238
TTC23	0.00055351
LRRC28	0.00023372
MEF2A	1.23E-08
LYSMD4	0.02013
ADAMTS17	5.47E-17
CERS3	2.81E-14
LINS1	1.05E-08
ASB7	1.73E-07
ALDH1A3	0.0015044
ALDH1A3-AS1	0.39463
LRRK1	4.43E-13
CHSY1	5.00E-10
SELENOS	3.04E-11
SNRPA1	2.95E-12
PCSK6	1.43E-14
TM2D3	5.64E-09
TARS3	9.43E-08
UBE2Q2P13	0.00026524
POLR3K	0.48703
SNRNP25	0.64769
RHBDF1	0.01176
MPG	0.050833
NPRL3	0.042806
HBZ	0.0024629
HBQ1	0.04282
LUC7L	0.036186
FAM234A	0.00033205
RGS11	0.000187
ARHGDIG	0.38181
PDIA2	1.89E-08
AXIN1	1.59E-14
MRPL28	4.15E-11
PGAP6	6.09E-10
NME4	0.04862
DECR2	0.0029225
RAB11FIP3	2.11E-11
CAPN15	3.33E-05
PRR35	2.11E-45
PIGQ	5.00E-10
RAB40C	5.00E-10
WFIKKN1	1.00E-50
METTL26	0.38208
WDR90	5.00E-10
RHOT2	5.00E-10
STUB1	1.53E-05
JMJD8	1.53E-05
WDR24	5.00E-10
FBXL16	5.00E-10
METRN	5.00E-10
CCDC78	5.00E-10
HAGHL	1.00E-50
CIAO3	5.00E-10
MSLN	0.01631
RPUSD1	0.0002113
CHTF18	0.00042598
GNG13	0.50905
PRR25	0.060628
LMF1	2.03E-15
SOX8	3.91E-12
SSTR5	1.06E-12
CACNA1H	1.40E-08
TPSG1	0.0020105
TPSAB1	2.49E-05
UBE2I	0.36188
BAIAP3	0.00059127
TSR3	0.00076842
GNPTG	0.0032688
UNKL	0.17636
CCDC154	0.10208
CLCN7	1.59E-05
PTX4	8.10E-05
TELO2	1.76E-07
IFT140	1.40E-05
TMEM204	0.00064917
CRAMP1	1.60E-09
JPT2	3.76E-08
MAPK8IP3	1.40E-06
MRPS34	4.38E-08
EME2	0.68745
SPSB3	9.58E-05
NUBP2	0.0018464
IGFALS	0.22835
HAGH	2.77E-06
FAHD1	0.0089423
MEIOB	0.00014773
HS3ST6	0.0027104
MSRB1	0.06046
RPL3L	0.13083
NDUFB10	3.93E-15
RPS2	0.046831
RNF151	0.33682
TBL3	2.13E-07
NOXO1	0.0006381
GFER	1.98E-10
SYNGR3	1.45E-05
ZNF598	1.21E-15
NPW	1.04E-05
NHERF2	5.00E-10
NTHL1	5.00E-10
TSC2	5.00E-10
PKD1	5.00E-10
RAB26	1.00E-50
TRAF7	5.00E-10
CASKIN1	5.00E-10
MLST8	5.00E-10
BRICD5	5.00E-10
PGP	5.00E-10
E4F1	5.00E-10
DNASE1L2	5.00E-10
ECI1	5.00E-10
RNPS1	1.23E-15
ABCA3	1.63E-15
CCNF	5.00E-10
TEDC2	1.70E-10
NTN3	0.0034255
TBC1D24	0.0067918
ATP6V0C	0.069673
AMDHD2	0.36265
PDPK1	1.65E-16
KCTD5	7.80E-07
PRSS27	0.0092234
SRRM2	6.65E-10
ELOB	1.05E-09
PRSS33	0.34559
PRSS21	0.15027
ZG16B	0.80171
PRSS22	0.42199
FLYWCH2	0.50679
FLYWCH1	0.092916
KREMEN2	1.53E-05
PKMYT1	0.032486
PAQR4	0.37834
CLDN9	0.10605
CLDN6	0.18613
TNFRSF12A	0.95597
HCFC1R1	0.37989
THOC6	0.0003903
BICDL2	0.40948
MMP25	0.0008881
IL32	0.016476
ZSCAN10	6.22E-13
ZNF205	1.22E-10
ZNF213	1.16E-15
CASP16P	5.00E-10
OR1F1	1.18E-08
ZNF200	0.00050579
MEFV	1.29E-05
ZNF263	0.31249
TIGD7	0.80926
ZNF75A	0.27257
OR2C1	0.045712
MTRNR2L4	0.08737
ZSCAN32	0.011789
ZNF174	0.049814
ZNF597	7.46E-05
NAA60	5.94E-10
CLUAP1	5.08E-10
NLRC3	9.36E-15
SLX4	1.35E-06
DNASE1	5.08E-05
TRAP1	1.92E-16
CREBBP	8.44E-07
ADCY9	7.27E-14
SRL	7.32E-10
TFAP4	1.06E-13
GLIS2	1.61E-15
PAM16	9.90E-11
CORO7-PAM16	4.48E-15
CORO7	1.06E-15
VASN	3.68E-08
DNAJA3	1.21E-07
NMRAL1	3.62E-07
HMOX2	2.63E-08
CDIP1	4.00E-06
C16orf96	0.00012759
UBALD1	0.51766
MGRN1	3.83E-16
NUDT16L1	0.43412
ANKS3	1.38E-15
DNAAF8	1.36E-14
ZNF500	1.28E-10
SEPTIN12	2.76E-06
SMIM22	4.70E-10
ROGDI	5.00E-10
GLYR1	5.00E-10
UBN1	5.00E-10
PPL	1.50E-15
SEC14L5	0.0026303
NAGPA	5.77E-06
C16orf89	2.56E-06
ALG1	0.099062
EEF2KMT	0.48907
RBFOX1	8.19E-30
METTL22	0.0026432
ABAT	0.00040036
TMEM186	0.11148
PMM2	0.055922
CARHSP1	0.00044366
USP7	7.26E-16
HAPSTR1	7.25E-11
GRIN2A	0.076016
ATF7IP2	0.003527
EMP2	0.00023778
TEKT5	3.53E-15
NUBP1	0.010797
TVP23A	0.015254
CIITA	0.22419
DEXI	0.16759
CLEC16A	0.0001563
TNP2	0.55575
PRM3	0.89664
PRM1	0.97572
RMI2	0.014826
LOC400499	0.65368
LITAF	0.011291
SNN	0.0012621
TXNDC11	0.0020345
ZC3H7A	0.0076364
RSL1D1	0.00029265
GSPT1	0.00065939
TNFRSF17	0.15083
SNX29	3.05E-10
NA	0.00064061
CPPED1	1.59E-13
SHISA9	0.0030485
ERCC4	0.026436
MRTFB	0.00025494
PARN	1.68E-14
BFAR	3.38E-12
PDXDC1	5.00E-10
NTAN1	5.00E-10
RRN3	1.64E-15
MPV17L	0.00084308
BMERB1	0.15322
MARF1	0.0027262
NDE1	0.0018928
MYH11	4.45E-05
CEP20	0.17712
ABCC1	6.30E-07
ABCC6	0.00019902
XYLT1	1.11E-12
RPS15A	0.16139
ARL6IP1	0.23427
SMG1	0.5699
TMC7	0.68189
COQ7	0.26485
ITPRIPL2	0.00026811
SYT17	8.74E-13
CLEC19A	0.27894
TMC5	0.0034926
GDE1	0.016353
CCP110	0.023364
VPS35L	1.68E-05
KNOP1	5.00E-10
IQCK	5.00E-10
GPRC5B	2.11E-10
GPR139	2.60E-11
GP2	0.53651
UMOD	0.077763
PDILT	0.0085333
ACSM5	0.59515
ACSM2A	0.094812
ACSM2B	0.00032661
ACSM1	1.04E-11
THUMPD1	5.00E-10
ACSM3	1.25E-13
ERI2	7.52E-15
REXO5	1.27E-15
DCUN1D3	6.89E-12
LYRM1	9.38E-13
DNAH3	5.18E-05
LDAF1	0.0075171
ZP2	0.0011099
ANKS4B	0.067855
CRYM	0.019535
METTL9	0.027588
IGSF6	0.041781
OTOA	0.18615
UQCRC2	0.1166
PDZD9	0.61564
MOSMO	0.31633
VWA3A	0.072026
EEF2K	0.0016125
POLR3E	3.06E-06
CDR2	9.60E-05
HS3ST2	0.042494
USP31	0.00023202
SCNN1G	6.34E-06
SCNN1B	0.032453
COG7	0.17548
GGA2	0.21387
EARS2	0.058974
UBFD1	0.0016335
NDUFAB1	0.33235
PALB2	0.56707
DCTN5	0.52211
PLK1	0.84367
ERN2	0.94876
CHP2	0.0011414
PRKCB	0.065017
CACNG3	0.63401
RBBP6	1.04E-11
TNRC6A	5.00E-10
SLC5A11	3.02E-14
ARHGAP17	2.90E-09
LCMT1	0.034135
AQP8	0.41325
ZKSCAN2	0.018923
HS3ST4	0.0014037
C16orf82	0.90736
KDM8	0.0059443
NSMCE1	0.0053817
IL4R	0.0012951
IL21R	0.057917
GTF3C1	0.97508
KATNIP	0.3612
GSG1L	0.026233
XPO6	0.20356
SBK1	2.22E-09
CLN3	3.00E-12
APOBR	2.52E-15
IL27	1.88E-15
NUPR1	0.0096356
SGF29	1.04E-10
SULT1A1	2.67E-07
ATXN2L	5.61E-12
TUFM	8.47E-08
SH2B1	2.26E-12
ATP2A1	3.67E-10
RABEP2	1.90E-11
CD19	0.035202
NFATC2IP	2.94E-05
SPNS1	5.98E-07
LAT	1.67E-09
NPIPB11	0.0066937
SPN	0.26124
QPRT	0.0024407
C16orf54	0.1174
ZG16	4.55E-06
MAZ	2.42E-07
PRRT2	1.57E-07
PAGR1	4.97E-11
MVP	1.42E-07
CDIPT	0.001144
SEZ6L2	1.02E-14
ASPHD1	1.29E-16
KCTD13	2.81E-15
TMEM219	5.00E-10
TAOK2	5.00E-10
INO80E	5.00E-10
DOC2A	5.00E-10
C16orf92	1.92E-21
TLCD3B	5.00E-10
ALDOA	5.00E-10
PPP4C	3.91E-10
TBX6	1.00E-50
GDPD3	5.00E-10
MAPK3	9.64E-10
CD2BP2	3.28E-07
TBC1D10B	3.77E-07
MYL11	0.33861
SEPTIN1	0.51066
ZNF48	0.45441
ZNF771	1.34E-10
DCTPP1	5.00E-10
SEPHS2	0.15708
ITGAL	3.96E-12
ZNF688	0.0048237
ZNF785	9.96E-06
ZNF689	0.67948
PRR14	7.22E-12
SRCAP	2.15E-09
RNF40	5.00E-10
BCL7C	7.51E-08
CTF1	0.0054388
FBXL19	1.07E-06
ORAI3	1.86E-10
SETD1A	2.49E-06
HSD3B7	3.51E-06
STX1B	0.00059826
STX4	0.048318
ZNF668	0.0043891
ZNF646	0.028453
PRSS53	0.00012798
VKORC1	0.0066757
BCKDK	5.00E-10
KAT8	2.22E-11
PRSS8	0.55872
FUS	0.00062045
TRIM72	0.00073872
ITGAM	0.030826
ITGAX	0.00068212
ITGAD	2.05E-07
COX6A2	0.020797
ZNF843	0.0012937
ARMC5	4.83E-06
TGFB1I1	5.00E-10
SLC5A2	5.00E-10
RUSF1	5.00E-10
AHSP	0.5089
KRBOX5	0.47751
ZNF267	0.10046
SHCBP1	0.011082
VPS35	0.00033796
ORC6	0.0069292
MYLK3	0.00051482
C16orf87	0.0017211
GPT2	0.00080593
DNAJA2	0.33181
NETO2	1.78E-06
ITFG1	4.11E-06
PHKB	3.17E-06
ABCC12	0.28214
ABCC11	0.0041244
LONP2	0.065831
SIAH1	0.25005
N4BP1	0.00039986
CBLN1	0.53306
C16orf78	0.39136
ZNF423	6.27E-14
CNEP1R1	0.018555
HEATR3	0.20282
NA	0.086591
TENT4B	6.29E-13
ADCY7	1.21E-07
BRD7	8.37E-11
NKD1	2.73E-06
SNX20	0.10111
NOD2	0.0046728
CYLD	0.00017193
SALL1	2.41E-06
LINC02911	0.2958
TOX3	3.62E-05
CHD9	2.48E-14
MPHOSPH10P1	0.00010128
RBL2	5.00E-10
AKTIP	3.75E-11
RPGRIP1L	2.28E-08
FTO	2.36E-11
IRX3	0.53166
IRX6	0.25171
MMP2	0.0085036
LPCAT2	0.29639
CAPNS2	0.40779
SLC6A2	0.00070512
CES1	0.074718
CES5A	0.0042651
GNAO1	0.24716
AMFR	0.42212
NUDT21	0.060723
OGFOD1	0.24998
BBS2	0.030039
MT4	0.011188
MT3	0.2588
MT1E	0.14062
MT1M	0.33719
MT1A	0.044089
MT1B	0.62085
MT1F	0.33384
MT1G	0.032882
MT1H	0.00013585
MT1X	0.35993
NUP93	5.01E-05
SLC12A3	0.00090091
HERPUD1	1.78E-10
CETP	1.99E-09
NLRC5	0.01095
CPNE2	0.18207
PSME3IP1	0.2058
RSPRY1	0.097349
ARL2BP	0.39517
PLLP	0.28284
CCL22	0.17797
CX3CL1	0.17285
CCL17	0.063351
CIAPIN1	0.0022021
COQ9	0.0073612
POLR2C	0.0058794
DOK4	0.10818
CCDC102A	0.065521
ADGRG5	0.1864
ADGRG1	0.18979
ADGRG3	0.92894
DRC7	0.51413
KATNB1	0.61506
KIFC3	0.25919
LOC388282	0.35415
CNGB1	0.0057219
TEPP	0.19108
ZNF319	0.19879
USB1	0.48579
MMP15	0.57391
CFAP20	0.14593
CSNK2A2	0.024751
CCDC113	0.082196
PRSS54	0.10281
GINS3	0.28453
NDRG4	0.0095866
SETD6	0.00065986
CNOT1	5.80E-06
SLC38A7	0.033396
GOT2	0.0012549
CDH8	0.0037819
CDH11	3.62E-13
CDH5	6.18E-07
BEAN1	1.66E-08
TK2	1.43E-07
CKLF	7.44E-07
CKLF-CMTM1	8.91E-07
CMTM1	2.80E-06
CMTM2	0.39759
CMTM3	1.45E-09
CMTM4	1.32E-07
DYNC1LI2	4.06E-08
TERB1	3.88E-10
NAE1	1.83E-07
CA7	0.00023436
PDP2	1.36E-13
CDH16	2.96E-08
RRAD	5.00E-10
CIAO2B	7.20E-06
CES2	1.08E-06
CES3	0.69236
CES4A	4.69E-05
CBFB	4.68E-05
PHAF1	1.43E-05
TRADD	3.20E-07
FBXL8	0.55996
NOL3	0.1523
MATCAP1	0.46997
EXOC3L1	0.44993
E2F4	1.28E-05
ELMO3	5.00E-05
FBXL9P	8.29E-05
TMEM208	5.00E-10
FHOD1	1.58E-07
SLC9A5	8.44E-11
PLEKHG4	5.00E-10
KCTD19	1.94E-15
LRRC36	4.70E-13
TPPP3	5.00E-10
ZDHHC1	5.00E-10
HSD11B2	5.00E-10
ATP6V0D1	5.00E-10
AGRP	5.00E-10
RIPOR1	3.75E-10
CTCF	3.10E-13
CARMIL2	5.00E-10
ACD	0.13574
PARD6A	1.00E-50
ENKD1	0.82083
GFOD2	1.01E-08
RANBP10	5.00E-10
TSNAXIP1	5.31E-12
CENPT	8.51E-12
THAP11	0.69891
NUTF2	1.13E-15
EDC4	5.04E-15
PSKH1	9.26E-13
CTRL	0.90205
PSMB10	2.16E-10
LCAT	3.66E-10
SLC12A4	3.21E-17
DPEP3	0.00032414
DPEP2	4.17E-07
DDX28	0.00025968
DUS2	4.95E-10
NFATC3	1.90E-11
ESRP2	4.53E-09
PLA2G15	9.02E-06
SLC7A6	0.0001106
SLC7A6OS	1.23E-05
PRMT7	1.47E-06
SMPD3	2.98E-11
ZFP90	0.00277
CDH3	0.037999
CDH1	2.57E-06
TANGO6	5.04E-12
HAS3	1.31E-12
CHTF8	5.00E-10
UTP4	8.24E-16
SNTB2	3.57E-15
VPS4A	1.77E-15
COG8	5.00E-10
NIP7	1.35E-24
TMED6	8.93E-16
TERF2	1.53E-16
CYB5B	0.00012416
NFAT5	3.49E-16
NQO1	5.00E-10
NOB1	5.00E-10
WWP2	5.00E-10
PDPR	0.047875
AARS1	0.00014711
DDX19B	0.00067806
DDX19A	4.02E-10
ST3GAL2	8.91E-05
FCSK	3.41E-10
COG4	6.31E-14
SF3B3	1.96E-11
IL34	1.32E-12
MTSS2	4.52E-11
VAC14	8.87E-10
HYDIN	1.66E-08
CMTR2	0.0010905
CALB2	7.80E-16
ZNF23	9.10E-11
ZNF19	2.65E-14
CHST4	8.86E-09
TAT	1.02E-11
MARVELD3	6.82E-15
PHLPP2	2.87E-15
AP1G1	7.61E-17
ATXN1L	7.42E-06
ZNF821	5.00E-10
IST1	4.68E-16
PKD1L3	5.00E-10
DHODH	7.70E-08
HP	2.64E-07
HPR	0.00026547
TXNL4B	0.01263
DHX38	0.0028381
PMFBP1	4.49E-11
ZFHX3	1.76E-12
NA	0.14276
NA	1.41E-22
PSMD7	3.51E-06
GLG1	0.044524
RFWD3	0.03263
MLKL	0.39539
FA2H	0.0080981
WDR59	0.12153
ZNRF1	0.0013622
LDHD	0.13907
ZFP1	2.19E-12
CTRB2	0.0026962
CTRB1	4.84E-10
BCAR1	2.94E-12
CFDP1	1.96E-15
TMEM170A	1.14E-15
CHST6	6.27E-10
CHST5	0.001544
TMEM231	1.77E-05
GABARAPL2	2.28E-08
ADAT1	0.00036202
KARS1	0.00055504
TERF2IP	8.26E-10
CNTNAP4	0.0735
MON1B	0.12595
SYCE1L	0.48842
ADAMTS18	0.015933
NUDT7	0.011479
VAT1L	1.12E-07
CLEC3A	5.00E-10
WWOX	8.93E-36
MAF	0.066691
DYNLRB2	0.21802
CDYL2	5.98E-05
CMC2	0.28371
CENPN	0.40772
ATMIN	0.50224
C16orf46	0.20108
GCSH	0.06624
PKD1L2	0.00017397
BCO1	0.17279
GAN	0.0035518
CMIP	3.36E-14
PLCG2	0.0016691
SDR42E1	0.013073
HSD17B2	0.0048158
MPHOSPH6	5.29E-15
CDH13	0.044848
HSBP1	0.22897
MLYCD	0.00029246
OSGIN1	1.33E-15
NECAB2	0.001083
SLC38A8	0.0082165
MBTPS1	2.97E-11
HSDL1	0.022644
DNAAF1	0.00017323
TAF1C	0.0017184
ADAD2	0.00041931
KCNG4	0.0087371
WFDC1	0.00017454
ATP2C2	0.12481
MEAK7	0.31356
COTL1	0.0011824
KLHL36	2.78E-05
USP10	5.00E-10
CRISPLD2	5.00E-10
ZDHHC7	6.96E-05
KIAA0513	2.21E-05
CIBAR2	0.024039
GSE1	3.10E-15
GINS2	0.46948
C16orf74	0.081779
EMC8	0.75052
COX4I1	0.59777
IRF8	0.70727
FOXF1	5.00E-10
MTHFSD	1.22E-11
FOXL1	0.011416
C16orf95	0.00015171
FBXO31	4.50E-07
MAP1LC3B	1.73E-10
ZCCHC14	1.13E-08
JPH3	0.004516
KLHDC4	0.16121
SLC7A5	0.0019078
CA5A	1.42E-09
BANP	4.53E-06
ZNF469	0.33543
ZFPM1	0.0011411
ZC3H18	3.90E-05
IL17C	0.6639
CYBA	3.47E-15
MVD	5.57E-16
SNAI3	8.11E-12
RNF166	5.00E-10
CTU2	1.38E-12
PIEZO1	1.21E-15
CDT1	1.00E-13
APRT	0.033562
GALNS	0.001555
TRAPPC2L	0.058882
CBFA2T3	7.73E-16
LOC100129697	1.10E-10
ACSF3	4.95E-14
CDH15	0.0003742
SLC22A31	0.014815
ZNF778	1.65E-07
ANKRD11	6.12E-08
SPG7	1.11E-16
RPL13	1.50E-15
CPNE7	1.04E-10
DPEP1	1.52E-16
CHMP1A	0.00091582
SPATA33	1.35E-12
CDK10	5.00E-10
SPATA2L	7.30E-09
VPS9D1	0.032739
ZNF276	5.16E-17
FANCA	1.56E-15
SPIRE2	6.82E-09
TCF25	5.70E-06
MC1R	1.46E-15
TUBB3	3.34E-10
DEF8	4.92E-16
CENPBD1P	9.92E-08
DBNDD1	5.39E-12
GAS8	2.21E-05
PRDM7	1.43E-15
DOC2B	0.71175
RPH3AL	0.022591
RPH3AL-AS1	0.050173
LIAT1	0.62574
VPS53	5.55E-10
TLCD3A	2.64E-14
GEMIN4	1.05E-15
GLOD4	1.10E-06
MRM3	3.07E-10
NXN	2.56E-12
TIMM22	0.042666
ABR	8.05E-16
TRARG1	0.0090689
YWHAE	1.99E-12
CRK	4.32E-08
MYO1C	1.66E-15
INPP5K	6.96E-10
PITPNA	1.18E-08
SLC43A2	4.50E-07
SCARF1	0.74679
RILP	0.0028812
PRPF8	0.044211
TLCD2	6.54E-09
WDR81	1.57E-15
SERPINF2	1.17E-15
SERPINF1	5.00E-10
SMYD4	5.00E-10
RPA1	5.00E-10
RTN4RL1	1.03E-07
DPH1	1.11E-13
HIC1	0.004846
SMG6	1.51E-09
SRR	2.66E-09
TSR1	0.00042488
SGSM2	1.79E-05
MNT	0.006159
METTL16	0.098307
PAFAH1B1	0.00041636
CLUH	1.84E-12
CCDC92B	0.00088541
RAP1GAP2	1.90E-13
OR1D2	0.0050471
OR1A2	0.46851
OR1A1	0.15976
OR3A2	0.82904
OR3A1	0.21092
OR3A3	0.93979
SPATA22	0.50171
ASPA	0.83124
TRPV3	0.057409
TRPV1	0.52847
SHPK	0.50668
CTNS	0.50316
TAX1BP3	0.88632
P2RX5	0.93647
ITGAE	0.0018862
HASPIN	0.0019861
NCBP3	0.34595
CAMKK1	0.17413
P2RX1	0.69674
ATP2A3	0.10577
ZZEF1	2.92E-10
CYB5D2	2.95E-05
ANKFY1	0.00067309
UBE2G1	0.0098003
SPNS3	0.093401
SPNS2	0.016642
MYBBP1A	0.31151
GGT6	0.67033
SMTNL2	0.48392
ALOX15	0.11294
PELP1	0.1776
ARRB2	0.24701
MED11	0.87847
CXCL16	0.78854
ZMYND15	0.03514
TM4SF5	0.028576
VMO1	0.4277
GLTPD2	0.48821
PSMB6	0.0015607
PLD2	4.78E-08
MINK1	1.42E-07
CHRNE	0.022444
C17orf107	0.022444
GP1BA	1.24E-06
SLC25A11	0.084267
RNF167	1.54E-06
PFN1	9.26E-11
ENO3	5.69E-07
SPAG7	4.46E-06
CAMTA2	2.33E-10
INCA1	2.97E-08
KIF1C	6.61E-08
SLC52A1	7.24E-14
ZFP3	4.94E-08
ZNF232	2.30E-05
USP6	2.06E-05
ZNF594	1.52E-05
SCIMP	8.50E-06
RABEP1	0.012024
NUP88	0.038012
RPAIN	0.11945
C1QBP	0.35908
DHX33	0.15335
DERL2	0.23382
MIS12	0.082413
LOC728392	0.96573
NLRP1	0.13671
WSCD1	0.44115
AIPL1	0.2226
PIMREG	0.72062
PITPNM3	0.0019594
